JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  32,SEG  33,SEG  34,SEG  35,SEG  36,SEG  37,SEG  38,SEG  39,SEG  40,SEG  41,SEG  42,SEG  43,SEG  44,SEG  45,SEG  46,SEG  47,SEG  48,SEG  49,SEG  50,SEG  51,SEG  52,SEG  55,SEG  56,SEG  57,SEG  58,SEG  61,SEG  62,SEG  63,SEG  64,SEG  65,SEG  66,SEG  67,SEG  68,SEG  69,SEG  70,SEG  73,SEG  74,SEG  75,SEG  76,SEG  77,SEG  78,SEG  79,SEG  80,SEG  81,SEG  82,SEG
     1.417, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.755, 665.756, 665.757, 665.758, 665.758, 665.758, 665.758, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.759, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.761, 665.761, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.761, 665.760, 665.760, 665.760, 665.760, 665.760, 665.760, 665.747, 665.747, 665.747, 665.747, 665.747, 665.759, 665.759, 665.760, 665.760, 665.760,
     1.463, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.758, 665.759, 665.760, 665.760, 665.761, 665.761, 665.761, 665.761, 665.761, 665.761, 665.761, 665.761, 665.761, 665.761, 665.762, 665.762, 665.762, 665.761, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.762, 665.763, 665.763, 665.763, 665.763, 665.763, 665.763, 665.763, 665.763, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.763, 665.763, 665.763, 665.763, 665.763, 665.763, 665.763, 665.747, 665.747, 665.747, 665.747, 665.747, 665.761, 665.761, 665.762, 665.762, 665.763,
     1.504, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.763, 665.764, 665.764, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.765, 665.764, 665.765, 665.764, 665.764, 665.764, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.765, 665.766, 665.766, 665.766, 665.766, 665.765, 665.765, 665.747, 665.747, 665.747, 665.747, 665.747, 665.765, 665.765, 665.765, 665.765, 665.765,
     1.542, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.750, 665.751, 665.751, 665.752, 665.752, 665.752, 665.752, 665.752, 665.752, 665.752, 665.752, 665.752, 665.752, 665.753, 665.753, 665.753, 665.753, 665.752, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.753, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.753, 665.753, 665.753, 665.753, 665.754, 665.754, 665.753, 665.747, 665.747, 665.747, 665.747, 665.747, 665.752, 665.753, 665.753, 665.753, 665.753,
     1.585, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.745, 665.746, 665.746, 665.747, 665.747, 665.747, 665.747, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.747, 665.747, 665.747, 665.747, 665.747, 665.748, 665.748, 665.749, 665.749, 665.749,
     1.629, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.738, 665.739, 665.739, 665.740, 665.740, 665.740, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.741, 665.742, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.740, 665.740, 665.741, 665.741, 665.741, 665.741, 665.741, 665.747, 665.747, 665.747, 665.747, 665.747, 665.740, 665.740, 665.741, 665.741, 665.741,
     1.667, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.740, 665.741, 665.741, 665.742, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.743, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.743, 665.744, 665.744, 665.744, 665.744, 665.744, 665.744, 665.747, 665.747, 665.747, 665.747, 665.747, 665.743, 665.743, 665.744, 665.744, 665.744,
     1.712, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.745, 665.746, 665.746, 665.747, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.748, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.749, 665.750, 665.750, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.750, 665.750, 665.750, 665.750, 665.750, 665.750, 665.750, 665.747, 665.747, 665.747, 665.747, 665.747, 665.749, 665.749, 665.750, 665.750, 665.750,
     1.752, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.734, 665.735, 665.735, 665.736, 665.737, 665.737, 665.737, 665.737, 665.737, 665.737, 665.737, 665.737, 665.737, 665.738, 665.738, 665.738, 665.738, 665.737, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.738, 665.739, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.737, 665.737, 665.738, 665.738, 665.738, 665.738, 665.738, 665.747, 665.747, 665.747, 665.747, 665.747, 665.737, 665.737, 665.738, 665.738, 665.738,
     1.792, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.729, 665.730, 665.730, 665.731, 665.732, 665.732, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.733, 665.734, 665.733, 665.733, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.734, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.732, 665.733, 665.734, 665.734, 665.734, 665.734, 665.734, 665.747, 665.747, 665.747, 665.747, 665.747, 665.733, 665.733, 665.733, 665.733, 665.734,
